phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,109,3,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีผลิตน้ำแม่แฝก,20019196582,27665558,N,MV,314.64,1,1,1,,,1,552,2,,,1,8,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,19.01413,98.97117,เชียงใหม่,1,C,ต.แม่แฝก อ.สันทราย จ.เชียงใหม่ 50290,C,1
2,110,4,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีจ่ายน้ำสันทราย,20020207736,6300033745,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงต่ำ,,ที่ดิน กปภ.,9,น.1,น,18.8411346,99.0257477,เชียงใหม่,1,C,ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210,C,1
2,111,5,กปภ.สาขาแม่ริม,แม่ริม,สถานีผลิตน้ำแม่ริม,20005543568,23055876,N,MV,282.72,1,1,1,,,1,496,2,,,,7,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.91163,98.9551,เชียงใหม่,1,C,ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180,C,1
2,112,6,กปภ.สาขาแม่สาย,ม.แม่สาย,โรงสูบแรงสูงแม่สาย,20005769926,23060388,N,MV,133.38,1,1,1,,,1,234,,1,1,,5,2,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,20.439479,99.880328,เชียงราย,1,C,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย 57130,S,0
2,113,7,กปภ.สาขาแม่สาย,ม.แม่สาย,สถานีผลิตน้ำเกาะช้าง,20005763480,6500202239,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,20.454253,99.964188,เชียงราย,1,C,ต.เกาะช้าง อ.แม่สาย จ.เชียงราย 57130,S,0
2,114,8,กปภ.สาขาพะเยา,พะเยา,สถานีผลิตน้ำดอยจอมทอง,20005780973,23060960,N,MV,435.48,1,1,1,,,1,764,3,,,1,11,1,1,แรงสูง,,ที่ธรณีสงฆ์,9,น.1,น,19.1814,99.88883,พะเยา,1,C,ต.บ้านต๋อม อ.เมืองพะเยา จ.พะเยา 56000,S,0
2,115,9,กปภ.สาขาลำปาง,ม.ลำปาง,สถานีผลิตน้ำพระบาท สระ 1,20005306465,6300033118,N,MV,254.22,1,1,1,,,1,446,2,,,,7,1,1,แรงสูง,,ที่ราชพัสดุ,9,น.1,น,18.28596,99.51347,ลำปาง,1,C,ต.พระบาท อ.เมืองลำปาง จ.ลำปาง 52000,C,1
2,116,10,กปภ.สาขาลำปาง,น.แม่เมาะ,สำนักงานประปาแม่เมาะ,20005307380,23067389,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงต่ำ,,ที่ราชพัสดุ,9,น.1,น,18.28204,99.65996,ลำปาง,1,C,ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง 52220,C,1
2,117,11,กปภ.สาขาลำพูน,ม.ลำพูน,โรงกรองน้ำแรงสูงริมปิง (ใหม่),20004613558,23063530,N,MV,181.26,1,1,1,,,1,318,,2,,,5,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.58933,98.97808,ลำพูน,1,C,ต.ริมปิง อ.เมืองลำพูน จ.ลำพูน 51000,C,1
2,118,12,กปภ.สาขาลำพูน,ลำพูน,สำนักงานการประปาส่วนภูมิภาคสาขาลำพูน,20004703510,27662945,N,MV (ติดตั้งยาก เนื่องจาก เสาหม้อแปลงอยู่ต้นถัดจากเสามิเตอร์และ มีช่องว่างน้อย),94.62,1,1,1,,,1,166,,1,,,3,1,1,แรงสูง,,ที่ราชพัสดุ,9,น.1,น,18.57372,99.00893,ลำพูน,1,C,ต.ในเมือง อ.เมือง จ.ลำพูน 51000,C,1
2,119,13,กปภ.สาขาแพร่,ม.แพร่,สถานีผลิตน้ำประปาแพร่,20010357984,27664642,N,MV,220.02,1,1,1,,,1,386,2,,,,8,2,1,แรงสูง,,ที่ราชพัสดุ,9,น.2,น,18.13364,100.14229,แพร่,1,C,ต.ในเวียง อ.เมืองแพร่ จ.แพร่ 54000,C,1
